symbol,token
115VFPL27,976375
75855SEI35,976381
97AFPL27,976371
EEL310125,976377
93HLFL35,976390
9CFSL35,976395
873ABFLPRP,976396
13KDFL27,976402
781IHFCL28,976406
1075NBSP26,976408
734PNB35,976413
773TIL35,976416
9OPL28,976420
975OFS27,976421
77BOM35,976422
11IML026,976423
95VL27,976431
759CHT44,976434
1110RST626,976441
986VCL27,976443
995HFSPL28,976451
799RECPERP,976453
0ICLFL30B,976478
COALINDIA24APR25320PE,100028
COALINDIA24APR25330PE,100030
COALINDIA24APR25350CE,100033
COALINDIA24APR25390PE,100042
COALINDIA24APR25430CE,100049
COFORGE27MAR256300CE,100187
COFORGE27MAR257300PE,100229
COFORGE27MAR257500CE,100230
KPITTECH24APR251060CE,100234
KPITTECH24APR251140CE,100238
KPITTECH24APR251300CE,100246
COFORGE27MAR258500CE,100281
COFORGE27MAR258700PE,100284
KPITTECH29MAY251080PE,100329
KPITTECH29MAY251360CE,100342
COFORGE24APR255800CE,100363
COFORGE24APR256400CE,100385
COFORGE24APR257200CE,100399
COFORGE24APR258400PE,100421
COFORGE24APR258200CE,100418
CYIENT27MAR251400CE,100602
COFORGE24APR258600CE,100422
CYIENT27MAR251320CE,100596
CYIENT27MAR251360PE,100601
COLPAL27MAR252460CE,100609
LAURUSLABS24APR25630CE,100635
COLPAL24APR252280PE,100765
COLPAL24APR252360CE,100768
COLPAL24APR252520CE,100779
COLPAL24APR252560PE,100782
LICHSGFIN24APR25550CE,100870
COLPAL24APR252800CE,100793
LICHSGFIN29MAY25480PE,100917
CONCOR27MAR25570CE,101039
CONCOR27MAR25730CE,101055
LICI24APR25650PE,101135
LICI24APR25710PE,101148
LICI24APR25770PE,101154
DABUR27MAR25410PE,101166
DABUR27MAR25430PE,101170
DABUR27MAR25450CE,101185
CONCOR27MAR25830PE,101227
DABUR27MAR25510PE,101244
DABUR27MAR25550CE,101286
CONCOR24APR25600PE,101317
CONCOR24APR25720PE,101329
LICI29MAY25680CE,101376
LODHA24APR25940PE,101441
LODHA24APR251060CE,101446
LODHA24APR251060PE,101447
LODHA24APR251100PE,101449
CROMPTON27MAR25335PE,101501
CROMPTON27MAR25385PE,101523
CROMPTON27MAR25405CE,101528
CROMPTON24APR25260PE,101563
CROMPTON24APR25280CE,101585
CROMPTON24APR25290PE,101588
CROMPTON24APR25300PE,101590
CROMPTON24APR25310CE,101591
LODHA29MAY251120CE,101616
LODHA29MAY251120PE,101617
LODHA29MAY251240CE,101622
CROMPTON24APR25350PE,101639
LT24APR252750PE,101679
LT24APR253250CE,101688
CUMMINSIND27MAR252750CE,101865
CUMMINSIND27MAR252950CE,101869
DALBHARAT27MAR251440PE,101973
DALBHARAT27MAR251800PE,101993
DALBHARAT27MAR251520PE,101979
DALBHARAT27MAR251560PE,101981
DALBHARAT27MAR251640CE,101984
DALBHARAT27MAR251880CE,101996
CUMMINSIND24APR252200PE,102038
CUMMINSIND24APR252500PE,102058
CUMMINSIND24APR252800CE,102085
CUMMINSIND24APR253000PE,102090
CUMMINSIND24APR253300CE,102095
CUMMINSIND24APR253300PE,102096
DEEPAKNTR27MAR251600CE,102124
DEEPAKNTR27MAR252100CE,102136
DEEPAKNTR27MAR252200PE,102139
DEEPAKNTR27MAR252500CE,102150
CYIENT27MAR251180CE,102209
CYIENT27MAR251180PE,102210
LTF24APR25122.5CE,102212
LTF24APR25122.5PE,102213
LTF24APR25137.5PE,102219
LTF24APR25142.5CE,102220
LTF24APR25152.5CE,102224
LTF29MAY25110PE,102249
CYIENT24APR25920PE,102320
CYIENT24APR251360CE,102445
DELHIVERY27MAR25270PE,102496
DELHIVERY27MAR25360PE,102532
LTIM29MAY253600CE,102577
LTIM29MAY254200CE,102588
LTIM29MAY255200CE,102604
LTIM29MAY255600PE,102621
DABUR27MAR25495PE,102669
DABUR27MAR25545CE,102680
LUPIN24APR251700CE,102786
LUPIN24APR251740CE,102788
LUPIN24APR252180PE,102848
LUPIN29MAY251800CE,102948
DABUR24APR25480CE,103089
LUPIN29MAY252160PE,102967
LUPIN29MAY252240CE,102972
DABUR24APR25510PE,103096
DABUR24APR25560CE,103107
DABUR24APR25560PE,103108
DIVISLAB27MAR254700CE,103129
DIVISLAB27MAR255100PE,103144
M&M24APR252750PE,103193
M&M29MAY252500CE,103250
DIVISLAB27MAR256400CE,103268
DIVISLAB27MAR256400PE,103269
DALBHARAT27MAR251660PE,103388
DALBHARAT27MAR251820PE,103396
M&MFIN29MAY25220CE,103476
M&MFIN29MAY25270CE,103516
DALBHARAT24APR251400PE,103597
DALBHARAT24APR251440PE,103599
DALBHARAT24APR251520PE,103603
DALBHARAT24APR251920PE,103623
DEEPAKNTR27MAR252050CE,103681
DEEPAKNTR27MAR252450CE,103691
DEEPAKNTR27MAR252650CE,103697
DEEPAKNTR27MAR252650PE,103698
MANAPPURAM24APR25212.5CE,103732
MANAPPURAM24APR25217.5PE,103735
MANAPPURAM29MAY25185CE,103782
MANAPPURAM29MAY25190PE,103787
DELHIVERY27MAR25245CE,103827
DELHIVERY27MAR25295CE,103837
DELHIVERY24APR25290CE,103895
DELHIVERY24APR25300CE,103905
DELHIVERY24APR25300PE,103906
DIXON27MAR2516000PE,103912
DIXON27MAR2517000CE,103917
DELHIVERY24APR25320PE,103919
MANAPPURAM29MAY25225PE,103979
DIVISLAB27MAR254950PE,104007
DIVISLAB27MAR255350CE,104054
DIVISLAB27MAR255650PE,104070
DIVISLAB27MAR255950CE,104077
DIVISLAB27MAR256050CE,104102
MARICO24APR25550PE,104121
MARICO24APR25650CE,104130
MARICO29MAY25560CE,104165
MARICO29MAY25560PE,104166
MARICO29MAY25660CE,104175
MARUTI24APR2511500CE,104230
DIVISLAB27MAR256350CE,104234
DLF27MAR25520CE,104254
DLF27MAR25600PE,104259
MARUTI24APR2512100CE,104267
MARUTI24APR2512300CE,104269
DLF27MAR25620CE,104277
DLF27MAR25660CE,104282
DLF27MAR25680CE,104284
DIVISLAB24APR255600PE,104347
DIVISLAB24APR256300PE,104361
DIVISLAB24APR256100PE,104357
DIVISLAB24APR256500CE,104364
DLF27MAR25800PE,104426
DLF27MAR25820PE,104428
MARUTI29MAY2510000PE,104444
MARUTI29MAY2511000CE,104453
MARUTI29MAY2511200PE,104456
MARUTI29MAY2512000CE,104467
MARUTI29MAY2512200CE,104471
MARUTI29MAY2512600CE,104478
DIXON27MAR2514750CE,104576
DIXON24APR2511000CE,104629
DMART27MAR253000PE,104778
DLF27MAR25730CE,104793
DMART27MAR253800PE,104796
DMART27MAR253900PE,104798
DMART27MAR254100PE,104824
MAXHEALTH29MAY25920PE,104836
MAXHEALTH29MAY251080PE,104844
MCX24APR254300PE,104945
DLF24APR25520CE,104952
DLF24APR25620PE,104963
DLF24APR25660CE,104966
DLF24APR25800PE,104996
DMART27MAR253950CE,105053
DMART27MAR254050CE,105055
DMART27MAR254500CE,105071
MCX24APR255700CE,105098
MCX29MAY255400CE,105153
MCX29MAY255600CE,105155
DMART24APR253500PE,105173
DMART24APR253900CE,105215
DMART24APR254000CE,105221
DRREDDY27MAR251110CE,105328
DRREDDY27MAR251110PE,105329
DRREDDY27MAR251210CE,105338
MFSL24APR251100PE,105342
MFSL24APR251140PE,105344
DRREDDY27MAR251250CE,105351
DRREDDY27MAR251290CE,105360
DRREDDY27MAR251350CE,105366
DRREDDY27MAR251350PE,105367
DRREDDY27MAR251040PE,105398
MFSL29MAY25800CE,105434
MFSL29MAY251120CE,105456
DRREDDY27MAR251300PE,105470
DRREDDY24APR251020PE,105509
DRREDDY24APR251180CE,105525
DRREDDY24APR251200PE,105528
MGL24APR251140PE,105569
MGL24APR251220CE,105575
MGL24APR251220PE,105576
MGL24APR251340CE,105587
MGL29MAY251160CE,105635
MOTHERSON24APR25102.5CE,105712
MOTHERSON24APR25107.5PE,105715
MOTHERSON24APR25112.5PE,105719
MOTHERSON24APR25132.5CE,105726
MOTHERSON24APR25137.5CE,105728
MOTHERSON29MAY25110CE,105819
EICHERMOT27MAR254250PE,105854
MOTHERSON29MAY25120CE,105887
MOTHERSON29MAY25130CE,105893
EICHERMOT27MAR254350PE,105904
EICHERMOT27MAR254450PE,105908
EICHERMOT27MAR254750PE,105961
EICHERMOT27MAR255150CE,105977
EICHERMOT27MAR255150PE,105978
EICHERMOT27MAR255250CE,105979
MPHASIS24APR251950PE,105984
MPHASIS24APR252050CE,105987
EICHERMOT27MAR255750CE,106046
MPHASIS29MAY252200CE,106109
MPHASIS29MAY252800CE,106127
CUMMINSIND27MAR253500CE,100004
COALINDIA24APR25300CE,100023
COALINDIA24APR25300PE,100024
COALINDIA24APR25310PE,100026
COALINDIA24APR25380PE,100040
KPITTECH24APR251180PE,100241
KPITTECH24APR251220PE,100243
KPITTECH24APR251340CE,100248
COFORGE27MAR258100PE,100268
KPITTECH29MAY251280CE,100338
COFORGE27MAR258100CE,100267
COFORGE27MAR258700CE,100283
KPITTECH29MAY251320PE,100341
COFORGE24APR256400PE,100386
COFORGE24APR256800CE,100389
COFORGE24APR257400PE,100402
COFORGE24APR257600PE,100409
COFORGE24APR258000PE,100417
COFORGE24APR259000PE,100427
COLPAL27MAR252260CE,100562
LAURUSLABS24APR25470CE,100568
LAURUSLABS24APR25530CE,100574
COLPAL27MAR252340CE,100580
CYIENT27MAR25960CE,100584
CYIENT27MAR251200CE,100592
CYIENT27MAR251480CE,100606
CYIENT27MAR251600PE,100615
COLPAL27MAR252700CE,100629
COLPAL27MAR252740CE,100645
COLPAL27MAR252780CE,100647
COLPAL27MAR252820CE,100650
LAURUSLABS29MAY25520CE,100687
CYIENT27MAR251680CE,100745
COLPAL24APR252000PE,100749
COLPAL24APR252200CE,100759
CYIENT27MAR251800PE,100772
COLPAL24APR252400CE,100773
COLPAL24APR252480CE,100777
COLPAL24APR252680CE,100787
COLPAL24APR252840CE,100795
COLPAL24APR252880CE,100797
LICHSGFIN29MAY25600CE,100968
CONCOR27MAR25550CE,101037
CONCOR27MAR25550PE,101038
CONCOR27MAR25610CE,101043
CONCOR27MAR25710CE,101053
CONCOR27MAR25790CE,101085
LICI24APR25670CE,101136
LICI24APR25750PE,101152
LICI24APR25830PE,101176
DABUR27MAR25440PE,101180
DABUR27MAR25510CE,101243
LICI29MAY25640PE,101275
CONCOR24APR25540PE,101280
DABUR27MAR25530PE,101282
DABUR27MAR25540PE,101285
CONCOR24APR25560PE,101289
DABUR27MAR25570CE,101291
DABUR27MAR25580CE,101293
DABUR27MAR25580PE,101294
DABUR27MAR25600CE,101297
CONCOR24APR25600CE,101316
LODHA24APR25940CE,101440
LODHA24APR251180CE,101452
LODHA24APR251300PE,101459
CROMPTON27MAR25365PE,101518
CROMPTON27MAR25375PE,101521
CROMPTON24APR25280PE,101586
LODHA29MAY251200PE,101621
CROMPTON24APR25330PE,101606
LODHA29MAY251000PE,101611
LODHA29MAY251080PE,101615
LODHA29MAY251280PE,101625
LODHA29MAY251320CE,101626
CROMPTON24APR25360CE,101640
LT24APR253050PE,101685
CROMPTON24APR25380PE,101770
LT24APR253450CE,101692
LT24APR253550PE,101703
LT24APR253650CE,101704
CROMPTON24APR25410PE,101779
CUMMINSIND27MAR252450CE,101833
LT29MAY252900CE,101846
LT29MAY253000PE,101849
LT29MAY253100CE,101850
LT29MAY253200PE,101853
CUMMINSIND27MAR253050PE,101872
LT29MAY253800CE,101889
DALBHARAT27MAR251440CE,101972
DALBHARAT27MAR251480PE,101977
DALBHARAT27MAR251600CE,101982
DALBHARAT27MAR251720PE,101989
DALBHARAT27MAR251760CE,101990
DALBHARAT27MAR252000CE,102002
CUMMINSIND24APR252900CE,102087
CUMMINSIND24APR253400PE,102098
CUMMINSIND24APR253500CE,102099
DEEPAKNTR27MAR251600PE,102125
CYIENT27MAR251220CE,102211
LTF24APR25157.5CE,102226
CYIENT27MAR251380PE,102258
CYIENT27MAR251500PE,102268
CYIENT27MAR251540PE,102270
CYIENT27MAR251660PE,102276
CYIENT27MAR251700CE,102277
CYIENT27MAR251700PE,102278
LTF29MAY25125CE,102339
LTF29MAY25135PE,102344
LTF29MAY25150PE,102352
CYIENT24APR251240CE,102383
LTIM24APR254500CE,102418
LTIM24APR255300PE,102429
CYIENT24APR251320CE,102443
DELHIVERY27MAR25200CE,102452
DELHIVERY27MAR25220CE,102454
DELHIVERY27MAR25230CE,102462
CYIENT24APR251520CE,102467
DELHIVERY27MAR25350CE,102529
DABUR27MAR25455PE,102615
LTIM29MAY256000PE,102625
DABUR27MAR25485CE,102662
DABUR27MAR25495CE,102666
LUPIN24APR251940PE,102831
LUPIN24APR251980CE,102835
LUPIN24APR251980PE,102836
LUPIN24APR252180CE,102847
LUPIN24APR252220CE,102849
LUPIN29MAY251600PE,102939
LUPIN29MAY251840PE,102951
LUPIN29MAY252000CE,102958
LUPIN29MAY252200CE,102970
DABUR24APR25410PE,103042
DABUR24APR25420PE,103044
DABUR24APR25440PE,103048
DABUR24APR25460CE,103052
DABUR24APR25490PE,103092
DABUR24APR25520PE,103098
DABUR24APR25530CE,103099
DABUR24APR25540CE,103101
DABUR24APR25550PE,103106
DIVISLAB27MAR255200PE,103146
M&M24APR252950PE,103219
M&M24APR253050PE,103221
DIVISLAB27MAR256000CE,103256
DALBHARAT27MAR251580PE,103384
DALBHARAT27MAR251660CE,103387
DALBHARAT27MAR251740PE,103392
DALBHARAT27MAR251820CE,103395
M&MFIN24APR25265PE,103419
M&MFIN29MAY25310CE,103554
DALBHARAT24APR251720CE,103612
DALBHARAT24APR251720PE,103613
DALBHARAT24APR251880CE,103620
DALBHARAT24APR251960CE,103627
DEEPAKNTR27MAR251650CE,103673
DEEPAKNTR24APR252100CE,103723
MANAPPURAM24APR25217.5CE,103734
MANAPPURAM29MAY25170PE,103777
MANAPPURAM29MAY25215PE,103801
DELHIVERY27MAR25225CE,103823
DELHIVERY27MAR25255CE,103829
DELHIVERY27MAR25255PE,103830
DELHIVERY27MAR25265PE,103832
DELHIVERY27MAR25285CE,103835
DELHIVERY27MAR25285PE,103836
DELHIVERY24APR25220CE,103881
DELHIVERY24APR25240CE,103885
DELHIVERY24APR25240PE,103886
DELHIVERY24APR25250PE,103888
DELHIVERY24APR25270PE,103892
DELHIVERY24APR25280CE,103893
DIXON27MAR2513000CE,103897
DIXON27MAR2515500PE,103910
DIXON27MAR2516000CE,103911
DIXON27MAR2517000PE,103920
MANAPPURAM29MAY25230CE,103980
MARICO24APR25570PE,104123
MARICO24APR25610PE,104127
MARICO29MAY25600PE,104170
MARICO29MAY25680CE,104177
MARUTI24APR2511500PE,104231
DIVISLAB27MAR256650CE,104240
MARUTI24APR2512300PE,104279
DLF27MAR25640CE,104280
DLF27MAR25640PE,104281
DIVISLAB24APR254800PE,104320
DIVISLAB24APR255000PE,104333
DIVISLAB24APR255300CE,104338
DIVISLAB24APR255400PE,104343
DIVISLAB24APR255800CE,104350
DLF27MAR25800CE,104423
MARUTI29MAY2510800CE,104451
DLF27MAR25900PE,104460
DLF27MAR25960CE,104469
MARUTI29MAY2512000PE,104470
DIXON27MAR2511750PE,104565
DIXON27MAR2513750CE,104572
MAXHEALTH24APR251060CE,104601
DIXON24APR2512500CE,104637
DIXON24APR2513000PE,104642
DIXON24APR2514500CE,104664
DLF27MAR25630PE,104763
DLF27MAR25690CE,104768
DMART27MAR252900CE,104775
DMART27MAR253200PE,104782
DMART27MAR253700CE,104791
DMART27MAR254000CE,104799
DMART27MAR254000PE,104802
DLF27MAR25790PE,104899
DLF27MAR25830PE,104921
DLF24APR25600PE,104961
DLF24APR25620CE,104962
DLF24APR25780PE,104994
DLF24APR25640CE,104964
DLF24APR25740CE,104989
DLF24APR25760PE,104992
DMART27MAR253350CE,105041
DMART27MAR253550CE,105045
DMART27MAR253750CE,105049
DMART27MAR253850CE,105051
DMART24APR253200CE,105146
MCX29MAY255600PE,105156
DMART24APR253900PE,105216
DMART24APR254100PE,105228
MFSL24APR25860PE,105299
MFSL24APR25900PE,105301
MFSL24APR25940CE,105302
DRREDDY27MAR251050CE,105321
DRREDDY27MAR251170CE,105334
MFSL29MAY251080CE,105454
DRREDDY27MAR251000CE,105393
DRREDDY27MAR251180PE,105432
DRREDDY27MAR251280PE,105460
DRREDDY24APR25960PE,105502
DRREDDY24APR251060PE,105513
DRREDDY24APR251100PE,105517
DRREDDY27MAR251380PE,105523
DRREDDY24APR251240CE,105531
DRREDDY24APR251280PE,105536
DRREDDY24APR251300PE,105542
MGL24APR251260CE,105579
MGL24APR251460PE,105598
MGL29MAY251120PE,105634
MGL29MAY251240PE,105642
MGL29MAY251360PE,105648
MGL29MAY251520PE,105663
MOTHERSON24APR25132.5PE,105727
MOTHERSON29MAY25110PE,105820
MOTHERSON29MAY25135PE,105896
MOTHERSON29MAY25150CE,105901
MOTHERSON29MAY25150PE,105902
EICHERMOT27MAR254650PE,105959
EICHERMOT27MAR254850PE,105963
EICHERMOT27MAR255450PE,105986
MPHASIS24APR252650CE,106062
MPHASIS24APR252650PE,106063
MPHASIS29MAY252300PE,106112
EICHERMOT27MAR254000CE,106165
EICHERMOT27MAR254500PE,106176
EICHERMOT27MAR255500PE,106196
EICHERMOT24APR254100PE,106254
EICHERMOT24APR254600PE,106264
EICHERMOT24APR254900PE,106270
EICHERMOT24APR255000CE,106271
EICHERMOT24APR255100CE,106273
EICHERMOT24APR255300PE,106278
MRF24APR2597500CE,106468
MRF24APR2599500CE,106472
MRF24APR25105500CE,106484
MRF24APR25111500CE,106515
MRF24APR25113500CE,106519
ESCORTS24APR252800PE,106533
ESCORTS24APR252900PE,106537
ESCORTS24APR253300PE,106550
ESCORTS27MAR252400CE,106585
ESCORTS27MAR252900CE,106600
ESCORTS27MAR254100PE,106626
EXIDEIND27MAR25325PE,106721
MRF29MAY2592000PE,106800
MRF29MAY2597000PE,106822
MRF29MAY25101000CE,106829
MRF29MAY25104000PE,106836
MRF29MAY25110000PE,106874
MRF29MAY25118000CE,106908
MRF29MAY25118000PE,106909
EXIDEIND24APR25280PE,106917
EXIDEIND24APR25370PE,106936
EXIDEIND24APR25400PE,106973
EXIDEIND24APR25420PE,106984
MUTHOOTFIN24APR251940PE,107019
MUTHOOTFIN24APR252140CE,107093
MUTHOOTFIN29MAY251920CE,107176
MUTHOOTFIN29MAY251920PE,107177
FEDERALBNK27MAR25162.5PE,107198
MUTHOOTFIN29MAY252200CE,107200
FEDERALBNK27MAR25197.5CE,107238
EXIDEIND27MAR25290CE,107361
NATIONALUM24APR25165PE,107412
NATIONALUM24APR25185PE,107416
NATIONALUM24APR25205CE,107419
NATIONALUM29MAY25160PE,107480
EXIDEIND27MAR25340CE,107499
GAIL27MAR25166CE,107513
EXIDEIND27MAR25410CE,107536
NAUKRI24APR255900CE,107598
NAUKRI24APR257900CE,107620
NAUKRI29MAY256400PE,107780
NAUKRI29MAY257200PE,107839
NAUKRI29MAY257600PE,107845
NAUKRI29MAY258000CE,107875
NBCC24APR2587.5PE,107938
FEDERALBNK27MAR25205PE,107955
NBCC29MAY2580PE,107974
NBCC29MAY2585CE,107975
NCC24APR25165PE,108046
NCC24APR25205CE,108061
NCC24APR25215PE,108064
NCC29MAY25180PE,108116
GAIL27MAR25153.5CE,108123
GAIL27MAR25163.5CE,108127
GAIL27MAR25183.5CE,108135
GLENMARK27MAR251220PE,108212
GLENMARK27MAR251420CE,108232
GLENMARK24APR251480CE,108321
GLENMARK24APR251600PE,108358
NESTLEIND24APR252260PE,108374
GLENMARK27MAR251040PE,108433
GLENMARK27MAR251120CE,108436
GMRAIRPORT27MAR2567CE,108452
GLENMARK27MAR251280PE,108457
GLENMARK27MAR251320PE,108461
GMRAIRPORT27MAR2575CE,108475
GLENMARK27MAR251800PE,108516
GMRAIRPORT24APR2576CE,108642
GMRAIRPORT27MAR2560CE,108707
GMRAIRPORT27MAR2586CE,108761
GMRAIRPORT27MAR2588CE,108763
GODREJCP27MAR25970PE,108831
GODREJCP27MAR25990CE,108832
GODREJCP27MAR251030PE,108846
NESTLEIND29MAY252560PE,108896
NHPC24APR2573PE,109010
NHPC24APR2579CE,109017
NHPC24APR2579PE,109018
NHPC24APR2583CE,109021
NHPC24APR2585CE,109023
NHPC29MAY2560CE,109061
NHPC29MAY2578CE,109079
NHPC29MAY2588PE,109094
NMDC24APR2563CE,109212
GODREJCP24APR25860PE,109254
GODREJCP27MAR25880PE,109334
GODREJCP24APR251120CE,109357
GODREJCP24APR251120PE,109358
GODREJPROP27MAR251950PE,109458
GODREJCP27MAR251060PE,109494
NMDC29MAY2552PE,109573
NMDC29MAY2566CE,109586
GODREJPROP27MAR251600PE,109634
GODREJPROP24APR251900CE,109641
GODREJPROP27MAR252300PE,109668
GODREJPROP27MAR252400PE,109670
GODREJPROP24APR252400CE,109708
NTPC24APR25285PE,109711
NTPC24APR25345PE,109723
NTPC24APR25375PE,109729
NTPC29MAY25290CE,109764
NTPC29MAY25360CE,109778
GRANULES27MAR25510CE,109822
GRANULES27MAR25530PE,109825
GRANULES27MAR25550CE,109826
GRANULES27MAR25570PE,109830
GRANULES24APR25480PE,109863
GRANULES24APR25520PE,109867
GRASIM27MAR252180CE,110002
GRASIM27MAR252540PE,110023
GRASIM27MAR252620CE,110026
GRASIM27MAR252700CE,110030
NYKAA24APR25187.5PE,110062
NYKAA29MAY25130CE,110139
GRANULES27MAR25480PE,110205
NYKAA29MAY25155PE,110238
GRASIM24APR252160CE,110288
GRASIM24APR252320PE,110297
GRASIM24APR252400PE,110301
GRASIM24APR252520PE,110307
GRASIM24APR252600PE,110311
GRASIM24APR252720CE,110381
NYKAA29MAY25175CE,110438
HAL27MAR252850CE,110445
HAL27MAR253350CE,110455
HAL27MAR253350PE,110456
HAL27MAR254050PE,110470
HAL24APR252800CE,110509
HAL24APR253400CE,110521
HAL24APR253600PE,110526
HAL24APR253900CE,110531
HAL24APR254000CE,110533
HAL24APR254000PE,110534
HAL24APR254200CE,110537
GRASIM27MAR251960PE,110578
GRASIM27MAR252040PE,110582
GRASIM27MAR252320CE,110595
NYKAA29MAY25200CE,110602
GRASIM27MAR252680PE,110647
GRASIM27MAR252800PE,110654
OBEROIRLTY24APR251340PE,110713
OBEROIRLTY24APR251460CE,110718
OBEROIRLTY29MAY251200CE,110820
OBEROIRLTY29MAY251200PE,110821
OBEROIRLTY29MAY251280CE,110824
HAVELLS27MAR251300PE,110900
HAVELLS27MAR251340PE,110902
HAVELLS27MAR251500PE,110910
HAVELLS27MAR251540PE,110912
HAVELLS27MAR251660CE,110918
HAVELLS27MAR251660PE,110919
HAVELLS27MAR251700CE,110921
HAVELLS27MAR251780CE,110925
HAVELLS27MAR251820PE,110931
OFSS24APR257750PE,110955
OFSS24APR259250PE,110967
OFSS29MAY257000PE,111002
HAVELLS24APR251320PE,111051
HAVELLS24APR251400PE,111057
HAVELLS24APR251760CE,111076
HAVELLS24APR251760PE,111077
OIL24APR25290CE,111125
HCLTECH27MAR251380PE,111150
HCLTECH27MAR251460PE,111154
OIL24APR25330CE,111242
OIL24APR25350CE,111244
HCLTECH27MAR251540PE,111247
HCLTECH27MAR251620PE,111251
OIL29MAY25300CE,111288
OIL29MAY25380CE,111296
OIL29MAY25400CE,111298
HCLTECH27MAR251820CE,111306
ONGC24APR25197.5CE,111431
ONGC24APR25197.5PE,111432
ONGC24APR25242.5CE,111449
ONGC24APR25247.5CE,111451
ONGC29MAY25215CE,111553
ONGC29MAY25220CE,111555
ONGC29MAY25245PE,111572
ONGC29MAY25250PE,111574
ONGC29MAY25270PE,111582
HCLTECH24APR251240PE,111765
HAL27MAR253000PE,111780
HCLTECH24APR251400PE,111787
HCLTECH24APR251520CE,111803
HCLTECH24APR251560CE,111805
HCLTECH24APR251600CE,111807
PAGEIND24APR2536500CE,111809
HCLTECH24APR251600PE,111810
HCLTECH24APR251680PE,111814
HAL27MAR254100PE,111829
HAL27MAR254300CE,111832
HAL27MAR254600CE,111838
PAGEIND24APR2540500CE,111854
HCLTECH24APR251800PE,111891
HCLTECH24APR251880PE,111895
HAVELLS27MAR251520PE,112111
PAGEIND29MAY2538000CE,112129
HAVELLS27MAR251800PE,112139
PAGEIND29MAY2545000PE,112171
HDFCAMC27MAR253250PE,112211
HDFCAMC27MAR253350CE,112212
HDFCAMC27MAR253450CE,112214
HDFCAMC27MAR253650CE,112244
HDFCAMC27MAR253950PE,112275
HDFCAMC24APR252900CE,112318
HDFCAMC24APR253300PE,112350
HDFCAMC24APR253900PE,112388
HDFCAMC24APR254000CE,112389
HDFCAMC24APR254200PE,112394
HDFCAMC24APR254400PE,112398
HCLTECH27MAR251400CE,112486
PATANJALI27MAR251640PE,112541
PATANJALI27MAR251740PE,112551
PATANJALI27MAR251780CE,112554
PATANJALI27MAR251840PE,112561
PATANJALI27MAR251900PE,112571
HCLTECH27MAR252000CE,112603
HDFCAMC27MAR253100CE,112770
HDFCBANK27MAR251780CE,112788
HDFCAMC27MAR253700CE,112855
HDFCBANK24APR251600CE,112870
HDFCBANK24APR251800CE,112880
HDFCBANK24APR251880PE,112885
HDFCBANK24APR251960PE,112889
HDFCAMC27MAR253900CE,112944
HDFCAMC27MAR254200CE,112973
HDFCAMC27MAR254400CE,112978
PATANJALI24APR251600CE,113020
PATANJALI24APR251640CE,113037
HDFCLIFE27MAR25550CE,113039
HDFCLIFE27MAR25550PE,113040
HDFCLIFE27MAR25570CE,113041
HDFCLIFE27MAR25670CE,113052
HDFCLIFE27MAR25670PE,113053
PATANJALI24APR251720CE,113070
HDFCLIFE24APR25640CE,113140
PATANJALI24APR251880PE,113152
PATANJALI24APR251900CE,113153
HDFCBANK27MAR251720CE,113189
HDFCBANK27MAR251880PE,113198
HDFCBANK27MAR251960PE,113202
HDFCLIFE24APR25700CE,113300
HDFCLIFE27MAR25540CE,113352
HEROMOTOCO27MAR253450PE,113410
HEROMOTOCO27MAR253550CE,113411
HEROMOTOCO27MAR253550PE,113412
HDFCLIFE27MAR25700PE,113511
HDFCLIFE27MAR25740PE,113515
PATANJALI29MAY251680PE,113532
PATANJALI29MAY251720CE,113533
PATANJALI29MAY251840PE,113540
PAYTM24APR25580CE,113583
PAYTM24APR25660PE,113595
PAYTM29MAY25480PE,113641
PAYTM29MAY25680CE,113650
PAYTM29MAY25880PE,113661
PEL24APR25820CE,113763
PEL24APR25980PE,113774
HEROMOTOCO24APR253700CE,113792
HEROMOTOCO27MAR252800CE,113833
HEROMOTOCO27MAR253300CE,113844
HEROMOTOCO27MAR253500CE,113848
HEROMOTOCO27MAR253600CE,113850
HEROMOTOCO27MAR253700PE,113853
HEROMOTOCO27MAR253900PE,113857
HEROMOTOCO27MAR254000CE,113858
HEROMOTOCO27MAR255000PE,113927
HFCL27MAR2582.5CE,114027
HFCL27MAR25102.5CE,114035
HFCL27MAR25102.5PE,114036
PEL29MAY25960PE,114095
PEL29MAY251120PE,114103
HFCL27MAR2585PE,114122
HFCL24APR2570PE,114150
HFCL24APR2580CE,114154
HFCL24APR25105CE,114243
HINDALCO27MAR25560CE,114329
HINDALCO27MAR25680PE,114342
HINDALCO27MAR25550PE,114392
HINDALCO27MAR25590PE,114396
HINDALCO27MAR25610PE,114398
HINDALCO27MAR25690PE,114408
HINDALCO27MAR25710PE,114410
HINDALCO27MAR25750PE,114414
PERSISTENT29MAY254800CE,114440
PETRONET24APR25265PE,114489
PETRONET29MAY25240PE,114584
HINDALCO24APR25540CE,114607
HINDCOPPER27MAR25160CE,114610
HINDCOPPER27MAR25200PE,114620
HINDCOPPER27MAR25230PE,114631
PETRONET29MAY25300PE,114757
PETRONET29MAY25320PE,114761
PFC24APR25310PE,114805
HINDPETRO27MAR25240CE,114861
HINDPETRO27MAR25280PE,114866
HINDPETRO27MAR25370CE,114883
HINDPETRO27MAR25410PE,114892
